Text,Views,Replies,Reposts,Likes,Bookmarks,Note Published?,Tweet ID:
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1874996976808599552
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877339532363772160
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1875058827911114752
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1880857578873500160
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879179274072322304
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1880300116957098240
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877883968982290944
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877906475382620160
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881909589526077952
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879951612082258176
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1880975630646612224
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877116936217051136
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877115308055392256
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877676095647937024
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879479458673082624
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1881436719763128576
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1880691880188424704
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1879945497726599424
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877761634732478720
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877367625799356928
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1874676265439072768
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877008644392243456
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1876525950747189504
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1876677223119454464
DivN/A,divN/A,divN/A,divN/A,divN/A,divN/A,False,1877152741589500160
